,channelGrouping,date,fullVisitorId,sessionId,socialEngagementType,visitId,visitNumber,visitStartTime,device.browser,device.browserVersion,device.browserSize,device.operatingSystem,device.operatingSystemVersion,device.isMobile,device.mobileDeviceBranding,device.mobileDeviceModel,device.mobileInputSelector,device.mobileDeviceInfo,device.mobileDeviceMarketingName,device.flashVersion,device.language,device.screenColors,device.screenResolution,device.deviceCategory,geoNetwork.continent,geoNetwork.subContinent,geoNetwork.country,geoNetwork.region,geoNetwork.metro,geoNetwork.city,geoNetwork.cityId,geoNetwork.networkDomain,geoNetwork.latitude,geoNetwork.longitude,geoNetwork.networkLocation,totals.visits,totals.hits,totals.pageviews,totals.newVisits,totals.bounces,totals.transactionRevenue,trafficSource.campaign,trafficSource.source,trafficSource.medium,trafficSource.keyword,trafficSource.adwordsClickInfo.criteriaParameters,trafficSource.referralPath,trafficSource.isTrueDirect,trafficSource.adwordsClickInfo.page,trafficSource.adwordsClickInfo.slot,trafficSource.adwordsClickInfo.gclId,trafficSource.adwordsClickInfo.adNetworkType,trafficSource.adwordsClickInfo.isVideoAd,trafficSource.adContent
57,Paid Search,20170228,877762316625116246,877762316625116246_1488323993,Not Socially Engaged,1488323993,1,1488323993,Chrome,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,Americas,Northern America,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,suddenlink.net,not available in demo dataset,not available in demo dataset,not available in demo dataset,1,1,1,1,1,,AW - Dynamic Search Ads Whole Site,google,cpc,6qEhsCssdK0z36ri,not available in demo dataset,,,1,Top,CjwKEAiA3NTFBRDKheuO6IG43VQSJAA74F77psnpH19A_Qvz_QYqzuzFW_Kx0i0c6QugUvnVtF8OERoC-2rw_wcB,Google Search,False,
58,Social,20170228,1025375704203814829,1025375704203814829_1488322459,Not Socially Engaged,1488322459,1,1488322459,YaBrowser,not available in demo dataset,not available in demo dataset,Windows,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,Europe,Eastern Europe,Ukraine,Kyiv city,(not set),Kiev,not available in demo dataset,la.net.ua,not available in demo dataset,not available in demo dataset,not available in demo dataset,1,1,1,1,1,,(not set),youtube.com,referral,,not available in demo dataset,/yt/about/uk/,,,,,,,
59,Organic Search,20161209,3168016081327823027,3168016081327823027_1481314986,Not Socially Engaged,1481314986,1,1481314986,Chrome,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,Americas,Northern America,United States,California,San Francisco-Oakland-San Jose CA,San Francisco,not available in demo dataset,(not set),not available in demo dataset,not available in demo dataset,not available in demo dataset,1,2,2,1,,,(not set),google,organic,(not provided),not available in demo dataset,,,,,,,,
60,Direct,20161209,2377926827079668008,2377926827079668008_1481277728,Not Socially Engaged,1481277728,1,1481277728,Chrome,not available in demo dataset,not available in demo dataset,Windows,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,Europe,Western Europe,France,Ile-de-France,(not set),Paris,not available in demo dataset,sfr.net,not available in demo dataset,not available in demo dataset,not available in demo dataset,1,2,2,1,,,(not set),(direct),(none),,not available in demo dataset,,True,,,,,,
61,Paid Search,20160917,9552836893396913614,9552836893396913614_1474141892,Not Socially Engaged,1474141892,1,1474141892,Safari,not available in demo dataset,not available in demo dataset,iOS,not available in demo dataset,True,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,mobile,Americas,Northern America,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,(not set),not available in demo dataset,not available in demo dataset,not available in demo dataset,1,42,29,1,,21000000,AW - Dynamic Search Ads Whole Site,google,cpc,6qEhsCssdK0z36ri,not available in demo dataset,,,1,Top,Cj0KEQjw0_O-BRCfjsCw25CYzYoBEiQAqO9BDPj-hi0fYWgzGcWeZXjwtEwewvVzqCpBwoiQMtxtdPgaAjyE8P8HAQ,Google Search,False,
62,Social,20160917,9139096402517878094,9139096402517878094_1474105769,Not Socially Engaged,1474105769,1,1474105769,Safari,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,Oceania,Melanesia,Papua New Guinea,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,com.pg,not available in demo dataset,not available in demo dataset,not available in demo dataset,1,1,1,1,1,,(not set),youtube.com,referral,,not available in demo dataset,/yt/about/,,,,,,,
63,Social,20160917,5650648001057507907,5650648001057507907_1474126408,Not Socially Engaged,1474126408,1,1474126408,Safari,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,Europe,Southern Europe,Serbia,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,telekom.rs,not available in demo dataset,not available in demo dataset,not available in demo dataset,1,1,1,1,1,,(not set),youtube.com,referral,,not available in demo dataset,/yt/about/,,,,,,,
64,Organic Search,20170617,8256638616365174660,8256638616365174660_1497695359,Not Socially Engaged,1497695359,2,1497695359,Chrome,not available in demo dataset,not available in demo dataset,Windows,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,Asia,Southern Asia,India,Maharashtra,(not set),Mumbai,not available in demo dataset,foxymoron.tv,not available in demo dataset,not available in demo dataset,not available in demo dataset,1,1,1,,1,,(not set),google,organic,(not provided),not available in demo dataset,,True,,,,,,
65,Direct,20170617,5188337535385768145,5188337535385768145_1497738715,Not Socially Engaged,1497738715,2,1497738715,Chrome,not available in demo dataset,not available in demo dataset,Windows,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,Americas,Northern America,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,cox.net,not available in demo dataset,not available in demo dataset,not available in demo dataset,1,2,2,,,,(not set),(direct),(none),,not available in demo dataset,,True,,,,,,
66,Direct,20161216,3703285686397609892,3703285686397609892_1481941460,Not Socially Engaged,1481941460,1,1481941460,Safari (in-app),not available in demo dataset,not available in demo dataset,iOS,not available in demo dataset,True,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,mobile,Americas,Northern America,United States,Illinois,Chicago IL,Chicago,not available in demo dataset,(not set),not available in demo dataset,not available in demo dataset,not available in demo dataset,1,1,1,1,1,,(not set),(direct),(none),,not available in demo dataset,,True,,,,,,
67,Direct,20161216,5731138813640039563,5731138813640039563_1481907761,Not Socially Engaged,1481907761,1,1481907761,Safari,not available in demo dataset,not available in demo dataset,iOS,not available in demo dataset,True,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,mobile,Americas,Northern America,United States,California,San Francisco-Oakland-San Jose CA,Palo Alto,not available in demo dataset,(not set),not available in demo dataset,not available in demo dataset,not available in demo dataset,1,1,1,1,1,,(not set),(direct),(none),,not available in demo dataset,,True,,,,,,
68,Organic Search,20161216,0604979076082716935,0604979076082716935_1481916359,Not Socially Engaged,1481916359,1,1481916359,Chrome,not available in demo dataset,not available in demo dataset,Windows,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,Europe,Northern Europe,United Kingdom,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,(not set),not available in demo dataset,not available in demo dataset,not available in demo dataset,1,1,1,1,1,,(not set),google,organic,(not provided),not available in demo dataset,,,,,,,,
69,Referral,20161216,2809545288272865877,2809545288272865877_1481913180,Not Socially Engaged,1481913180,13,1481913180,Chrome,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,Americas,Northern America,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,(not set),not available in demo dataset,not available in demo dataset,not available in demo dataset,1,2,2,,,,(not set),mall.googleplex.com,referral,,not available in demo dataset,/,True,,,,,,
70,Social,20161216,9660178764953634989,9660178764953634989_1481889958,Not Socially Engaged,1481889958,1,1481889958,Chrome,not available in demo dataset,not available in demo dataset,Windows,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,Americas,Northern America,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,rit.edu,not available in demo dataset,not available in demo dataset,not available in demo dataset,1,1,1,1,1,,(not set),youtube.com,referral,,not available in demo dataset,/yt/about/,,,,,,,
71,Social,20160820,1938207424351414650,1938207424351414650_1471685209,Not Socially Engaged,1471685209,2,1471685209,Firefox,not available in demo dataset,not available in demo dataset,Windows,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,Oceania,Australasia,Australia,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,uts.edu.au,not available in demo dataset,not available in demo dataset,not available in demo dataset,1,8,8,,,,(not set),youtube.com,referral,,not available in demo dataset,/yt/about/,True,,,,,,
72,Social,20160820,3296604735154656125,3296604735154656125_1471689898,Not Socially Engaged,1471689898,1,1471689898,Chrome,not available in demo dataset,not available in demo dataset,Windows,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,Asia,Western Asia,Turkey,Bursa,(not set),Bursa,not available in demo dataset,milleni.com.tr,not available in demo dataset,not available in demo dataset,not available in demo dataset,1,1,1,1,1,,(not set),youtube.com,referral,,not available in demo dataset,/yt/about/tr/,,,,,,,
73,Affiliates,20160822,5727381240000449602,5727381240000449602_1471908846,Not Socially Engaged,1471908846,1,1471908846,Firefox,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,Americas,Northern America,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,optonline.net,not available in demo dataset,not available in demo dataset,not available in demo dataset,1,5,5,1,,,Data Share Promo,Partners,affiliate,,not available in demo dataset,,,,,,,,
74,Organic Search,20160822,5699175664792313182,5699175664792313182_1471926554,Not Socially Engaged,1471926554,1,1471926554,Safari,not available in demo dataset,not available in demo dataset,iOS,not available in demo dataset,True,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,mobile,Americas,Northern America,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,verizon.net,not available in demo dataset,not available in demo dataset,not available in demo dataset,1,8,8,1,,,(not set),google,organic,(not provided),not available in demo dataset,,,,,,,,
75,Organic Search,20160822,7944242040546092821,7944242040546092821_1471878658,Not Socially Engaged,1471878658,1,1471878658,Chrome,not available in demo dataset,not available in demo dataset,Android,not available in demo dataset,True,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,mobile,Americas,Northern America,United States,California,San Francisco-Oakland-San Jose CA,San Francisco,not available in demo dataset,(not set),not available in demo dataset,not available in demo dataset,not available in demo dataset,1,1,1,1,1,,(not set),google,organic,(not provided),not available in demo dataset,,,,,,,,
76,Direct,20160822,4718272172608921072,4718272172608921072_1471904903,Not Socially Engaged,1471904903,1,1471904903,Chrome,not available in demo dataset,not available in demo dataset,Android,not available in demo dataset,True,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,mobile,Americas,South America,Colombia,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,unknown.unknown,not available in demo dataset,not available in demo dataset,not available in demo dataset,1,8,3,1,,,(not set),(direct),(none),,not available in demo dataset,,True,,,,,,
77,Social,20161129,6663931601432586653,6663931601432586653_1480428449,Not Socially Engaged,1480428449,1,1480428449,Internet Explorer,not available in demo dataset,not available in demo dataset,Windows,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,Europe,Western Europe,Switzerland,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,mammut-soft.ch,not available in demo dataset,not available in demo dataset,not available in demo dataset,1,1,1,1,1,,(not set),youtube.com,referral,,not available in demo dataset,/yt/about/de/,,,,,,,
78,Organic Search,20161129,5060757021023215744,5060757021023215744_1480406730,Not Socially Engaged,1480406730,1,1480406730,Chrome,not available in demo dataset,not available in demo dataset,Android,not available in demo dataset,True,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,mobile,Asia,Eastern Asia,Japan,Tokyo,(not set),Shinjuku,not available in demo dataset,au-net.ne.jp,not available in demo dataset,not available in demo dataset,not available in demo dataset,1,1,1,1,1,,(not set),google,organic,(not provided),not available in demo dataset,,,,,,,,
79,Organic Search,20161129,3605797301727190650,3605797301727190650_1480486554,Not Socially Engaged,1480486554,1,1480486554,Chrome,not available in demo dataset,not available in demo dataset,Android,not available in demo dataset,True,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,mobile,Oceania,Australasia,Australia,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,unknown.unknown,not available in demo dataset,not available in demo dataset,not available in demo dataset,1,2,2,1,,,(not set),google,organic,(not provided),not available in demo dataset,,,,,,,,
80,Direct,20161129,3344024920758072889,3344024920758072889_1480476915,Not Socially Engaged,1480476915,1,1480476915,Safari,not available in demo dataset,not available in demo dataset,iOS,not available in demo dataset,True,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,mobile,Americas,Northern America,United States,Massachusetts,Boston MA-Manchester NH,Boston,not available in demo dataset,(not set),not available in demo dataset,not available in demo dataset,not available in demo dataset,1,1,1,1,1,,(not set),(direct),(none),,not available in demo dataset,,True,,,,,,
81,Organic Search,20170318,0497549718882139966,0497549718882139966_1489870242,Not Socially Engaged,1489870242,1,1489870242,Safari,not available in demo dataset,not available in demo dataset,iOS,not available in demo dataset,True,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,mobile,Europe,Northern Europe,United Kingdom,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,skybroadband.com,not available in demo dataset,not available in demo dataset,not available in demo dataset,1,4,4,1,,,(not set),google,organic,(not provided),not available in demo dataset,,,,,,,,
82,Organic Search,20161130,9980588471101024307,9980588471101024307_1480520614,Not Socially Engaged,1480520614,1,1480520614,Chrome,not available in demo dataset,not available in demo dataset,Android,not available in demo dataset,True,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,mobile,Americas,Northern America,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,(not set),not available in demo dataset,not available in demo dataset,not available in demo dataset,1,6,5,1,,,(not set),google,organic,(not provided),not available in demo dataset,,,,,,,,
83,Organic Search,20161130,2262716345164341420,2262716345164341420_1480541306,Not Socially Engaged,1480541306,1,1480541306,Chrome,not available in demo dataset,not available in demo dataset,Windows,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,Americas,Northern America,United States,California,San Francisco-Oakland-San Jose CA,Mountain View,not available in demo dataset,(not set),not available in demo dataset,not available in demo dataset,not available in demo dataset,1,7,7,1,,,(not set),google,organic,(not provided),not available in demo dataset,,,,,,,,
84,Organic Search,20161130,4745940614583046516,4745940614583046516_1480559452,Not Socially Engaged,1480559452,1,1480559452,Chrome,not available in demo dataset,not available in demo dataset,Windows,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,Americas,Northern America,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,optonline.net,not available in demo dataset,not available in demo dataset,not available in demo dataset,1,31,23,1,,,(not set),google,organic,(not provided),not available in demo dataset,,,,,,,,
85,Organic Search,20161130,5904224842511564528,5904224842511564528_1480567226,Not Socially Engaged,1480567226,1,1480567226,Chrome,not available in demo dataset,not available in demo dataset,Windows,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,Asia,Southeast Asia,Indonesia,Jakarta,(not set),Jakarta,not available in demo dataset,telkom.net.id,not available in demo dataset,not available in demo dataset,not available in demo dataset,1,1,1,1,1,,(not set),google,organic,(not provided),not available in demo dataset,,,,,,,,
86,Social,20161130,8976090468345424506,8976090468345424506_1480505115,Not Socially Engaged,1480505115,1,1480505115,Chrome,not available in demo dataset,not available in demo dataset,Windows,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,Europe,Eastern Europe,Romania,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,unknown.unknown,not available in demo dataset,not available in demo dataset,not available in demo dataset,1,1,1,1,1,,(not set),youtube.com,referral,,not available in demo dataset,/yt/about/ro/,,,,,,,
87,Social,20161130,5864081419248848922,5864081419248848922_1480494468,Not Socially Engaged,1480494468,1,1480494468,Internet Explorer,not available in demo dataset,not available in demo dataset,Windows,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,Europe,Western Europe,Switzerland,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,ge.ch,not available in demo dataset,not available in demo dataset,not available in demo dataset,1,4,4,1,,,(not set),youtube.com,referral,,not available in demo dataset,/yt/about/fr/,,,,,,,
88,Organic Search,20161130,5618931672141759296,5618931672141759296_1480536927,Not Socially Engaged,1480536927,1,1480536927,Chrome,not available in demo dataset,not available in demo dataset,Windows,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,Americas,Northern America,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,apalacheecenter.org,not available in demo dataset,not available in demo dataset,not available in demo dataset,1,3,3,1,,,(not set),google,organic,(not provided),not available in demo dataset,,,,,,,,
89,Social,20160816,419266536923662658,419266536923662658_1471401729,Not Socially Engaged,1471401729,1,1471401729,Chrome,not available in demo dataset,not available in demo dataset,Android,not available in demo dataset,True,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,mobile,Asia,Southern Asia,India,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,unknown.unknown,not available in demo dataset,not available in demo dataset,not available in demo dataset,1,3,3,1,,,(not set),youtube.com,referral,,not available in demo dataset,/yt/about/,,,,,,,
90,Organic Search,20160816,698504955082008626,698504955082008626_1471373807,Not Socially Engaged,1471373807,1,1471373807,Chrome,not available in demo dataset,not available in demo dataset,Windows,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,Europe,Western Europe,France,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,wanadoo.fr,not available in demo dataset,not available in demo dataset,not available in demo dataset,1,1,1,1,1,,(not set),google,organic,(not provided),not available in demo dataset,,,,,,,,
91,Direct,20160816,4996744284157618731,4996744284157618731_1471340820,Not Socially Engaged,1471340820,1,1471340820,Chrome,not available in demo dataset,not available in demo dataset,Windows,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,Asia,Eastern Asia,Japan,Tokyo,(not set),Minato,not available in demo dataset,odn.ne.jp,not available in demo dataset,not available in demo dataset,not available in demo dataset,1,4,4,1,,,(not set),(direct),(none),,not available in demo dataset,,True,,,,,,
92,Social,20161030,3805043091537327788,3805043091537327788_1477855025,Not Socially Engaged,1477855025,1,1477855025,Safari,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,Americas,Central America,Mexico,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,prod-infinitum.com.mx,not available in demo dataset,not available in demo dataset,not available in demo dataset,1,1,1,1,1,,(not set),youtube.com,referral,,not available in demo dataset,/yt/about/es-419/,,,,,,,
93,Organic Search,20161230,4157679629543884057,4157679629543884057_1483152076,Not Socially Engaged,1483152076,2,1483152076,Safari,not available in demo dataset,not available in demo dataset,iOS,not available in demo dataset,True,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,mobile,Americas,Northern America,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,suddenlink.net,not available in demo dataset,not available in demo dataset,not available in demo dataset,1,1,1,,1,,(not set),google,organic,(not provided),not available in demo dataset,,True,,,,,,
94,Organic Search,20170704,5942069581857311851,5942069581857311851_1499170035,Not Socially Engaged,1499170035,2,1499170035,Chrome,not available in demo dataset,not available in demo dataset,Chrome OS,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,Europe,Western Europe,Germany,Berlin,(not set),Berlin,not available in demo dataset,arsenal-berlin.de,not available in demo dataset,not available in demo dataset,not available in demo dataset,1,1,1,,1,,(not set),google,organic,(not provided),not available in demo dataset,,True,,,,,,
95,Organic Search,20170704,0276016957683873978,0276016957683873978_1499214332,Not Socially Engaged,1499214332,1,1499214332,Safari,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,Americas,Northern America,Canada,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,(not set),not available in demo dataset,not available in demo dataset,not available in demo dataset,1,1,1,1,1,,(not set),google,organic,(not provided),not available in demo dataset,,,,,,,,
96,Organic Search,20170704,9757004042799240861,9757004042799240861_1499186350,Not Socially Engaged,1499186350,1,1499186350,Safari,not available in demo dataset,not available in demo dataset,iOS,not available in demo dataset,True,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,mobile,Europe,Northern Europe,United Kingdom,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,unknown.unknown,not available in demo dataset,not available in demo dataset,not available in demo dataset,1,1,1,1,1,,(not set),google,organic,(not provided),not available in demo dataset,,,,,,,,
97,Organic Search,20170704,0740443468285800586,0740443468285800586_1499220394,Not Socially Engaged,1499220394,1,1499220394,Chrome,not available in demo dataset,not available in demo dataset,Android,not available in demo dataset,True,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,mobile,Asia,Eastern Asia,Taiwan,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,hinet.net,not available in demo dataset,not available in demo dataset,not available in demo dataset,1,10,8,1,,,(not set),google,organic,(not provided),not available in demo dataset,,,,,,,,
98,Organic Search,20170704,3563621211168304940,3563621211168304940_1499212523,Not Socially Engaged,1499212523,1,1499212523,Safari,not available in demo dataset,not available in demo dataset,iOS,not available in demo dataset,True,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,mobile,Americas,Northern America,United States,California,San Francisco-Oakland-San Jose CA,San Jose,not available in demo dataset,comcastbusiness.net,not available in demo dataset,not available in demo dataset,not available in demo dataset,1,13,13,1,,,(not set),google,organic,(not provided),not available in demo dataset,,,,,,,,
99,Organic Search,20170213,3152265780823617530,3152265780823617530_1486988756,Not Socially Engaged,1486988756,1,1486988756,Chrome,not available in demo dataset,not available in demo dataset,Windows,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,Europe,Northern Europe,United Kingdom,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,threembb.co.uk,not available in demo dataset,not available in demo dataset,not available in demo dataset,1,8,8,1,,,(not set),google,organic,(not provided),not available in demo dataset,,,,,,,,
